nx,ny,nz,gamma,nc,leaf_size,eta,dense_memory_entries,h_memory_entries,compression_ratio,dense_handmade_matvec_time,h_matvec_time,speedup_dense_handmade_over_h,relative_matvec_error,blocks,low_rank_blocks,dense_blocks,lr_fraction,rank_mean,rank_median,rank_max,lr_ops_proxy,dense_ops_proxy
10,10,5,top_y,66,8,0.5,4356,5806,0.7502583534274888,0.0013270353277524312,0.0019640479780112705,0.675663396520559,2.803286261115954e-16,172,88,84,0.5116279069767442,3.8863636363636362,3.0,6.0,3340.0,2466.0
10,10,5,top_y,66,16,0.5,4356,4356,1.0,0.0013270353277524312,0.0011452959928040702,1.1586832889403567,2.40484860728632e-16,28,0,28,0.0,0.0,0.0,0.0,0.0,4356.0
10,10,5,top_y,66,32,0.5,4356,4356,1.0,0.0013270353277524312,0.001089104024382929,1.2184651769185322,2.2480787101989025e-16,16,0,16,0.0,0.0,0.0,0.0,0.0,4356.0
10,10,5,top_y,66,64,0.5,4356,4356,1.0,0.0013270353277524312,0.0010208946963151295,1.299874837769558,2.0406515159497836e-16,4,0,4,0.0,0.0,0.0,0.0,0.0,4356.0
10,10,5,top_y,66,8,1.0,4356,6532,0.6668707899571341,0.0013270353277524312,0.0020395730001231036,0.6506437022221487,2.840696557651438e-16,136,82,54,0.6029411764705882,4.682926829268292,4.0,10.0,4956.0,1576.0
10,10,5,top_y,66,16,1.0,4356,4356,1.0,0.0013270353277524312,0.0011275936461364229,1.1768737189140552,2.40484860728632e-16,28,0,28,0.0,0.0,0.0,0.0,0.0,4356.0
10,10,5,top_y,66,32,1.0,4356,4356,1.0,0.0013270353277524312,0.0010810543317347765,1.2275380513234029,2.2480787101989025e-16,16,0,16,0.0,0.0,0.0,0.0,0.0,4356.0
10,10,5,top_y,66,64,1.0,4356,4356,1.0,0.0013270353277524312,0.0010349893321593602,1.2821729524339713,2.0406515159497836e-16,4,0,4,0.0,0.0,0.0,0.0,0.0,4356.0
10,10,5,top_y,66,8,1.5,4356,6604,0.6596002422774077,0.0013270353277524312,0.0020451786695048213,0.6488603404384875,2.867771321981303e-16,136,90,46,0.6617647058823529,4.533333333333333,3.0,10.0,5172.0,1432.0
10,10,5,top_y,66,16,1.5,4356,4356,1.0,0.0013270353277524312,0.001142889338855942,1.1611232012023347,2.40484860728632e-16,28,0,28,0.0,0.0,0.0,0.0,0.0,4356.0
10,10,5,top_y,66,32,1.5,4356,4356,1.0,0.0013270353277524312,0.0010685690601045887,1.2418807331203698,2.2480787101989025e-16,16,0,16,0.0,0.0,0.0,0.0,0.0,4356.0
10,10,5,top_y,66,64,1.5,4356,4356,1.0,0.0013270353277524312,0.0010655870040257771,1.245356148994784,2.0406515159497836e-16,4,0,4,0.0,0.0,0.0,0.0,0.0,4356.0
10,10,5,top_y,66,8,2.0,4356,7380,0.5902439024390244,0.0013270353277524312,0.002339368026393155,0.567262317335532,2.823643000376321e-16,100,76,24,0.76,5.631578947368421,5.0,15.0,6670.0,710.0
10,10,5,top_y,66,16,2.0,4356,5454,0.7986798679867987,0.0013270353277524312,0.0015488046919927,0.8568125694693375,2.456724176411873e-16,28,10,18,0.35714285714285715,10.2,9.0,15.0,2196.0,3258.0
10,10,5,top_y,66,32,2.0,4356,4806,0.9063670411985019,0.0013270353277524312,0.0012836677099888523,1.0337841463379611,2.3003118559693144e-16,16,2,14,0.125,15.0,15.0,15.0,900.0,3906.0
10,10,5,top_y,66,64,2.0,4356,4356,1.0,0.0013270353277524312,0.0011057763670881589,1.2000937687309357,2.0406515159497836e-16,4,0,4,0.0,0.0,0.0,0.0,0.0,4356.0
10,10,5,top_y,66,8,2.5,4356,7546,0.577259475218659,0.0013270353277524312,0.0021234736777842045,0.624936085450874,2.890440974939438e-16,82,64,18,0.7804878048780488,5.71875,4.0,18.0,7032.0,514.0
10,10,5,top_y,66,16,2.5,4356,6354,0.6855524079320113,0.0013270353277524312,0.0015637753531336784,0.8486099522499574,2.3635666944103403e-16,22,8,14,0.36363636363636365,15.75,15.0,18.0,4176.0,2178.0
10,10,5,top_y,66,32,2.5,4356,6354,0.6855524079320113,0.0013270353277524312,0.0015675399918109179,0.8465719118396201,2.337576777703551e-16,16,8,8,0.5,15.75,15.0,18.0,4176.0,2178.0
10,10,5,top_y,66,64,2.5,4356,4356,1.0,0.0013270353277524312,0.0010300213083003957,1.2883571602437318,2.0406515159497836e-16,4,0,4,0.0,0.0,0.0,0.0,0.0,4356.0
